연도,A등급,B등급,C등급,D등급,총개소,우심지역(C+D),침식 우심률(%)
2003년,,26,28,8,62,36,58.1
2004년,,25,29,8,62,37,59.7
2005년,2,33,21,6,62,27,43.5
2006년,2,30,16,14,62,30,48.4
2007년,9,57,34,20,120,54,45
2008년,9,60,35,16,120,51,42.5
2009년,13,52,39,16,120,55,45.8
2010년,10,55,65,27,157,92,58.6
2011년,3,53,78,26,160,104,65
2012년,2,44,102,24,172,126,73.3
2013년,2,81,129,13,225,142,63.1
2014년,10,131,94,15,250,109,43.6
2015년,6,95,136,13,250,149,59.6
2016년,1,104,115,30,250,145,58
2017년,3,109,116,22,250,138,55.2
2018년,6,95,137,12,250,149,59.6
2019년,10,87,136,17,250,153,61.2
2020년,4,90,113,43,250,156,62.4
2021년,9,196,130,25,360,155,43.1
2022년,18,181,133,28,360,161,44.7
2023년,25,179,137,19,360,156,43.3
