연도,해수면 평균온도,해수면 평균높이
1970,-1.1,
1975,-0.2,
1980,-1.2,
1985,-0.5,
1986,-0.9,
1987,-0.7,
1988,-0.2,
1989,-0.5,0
1990,0.1,-0.9
1991,-0.6,-0.1
1992,-0.4,0.5
1993,-1,-2.5
1994,-0.1,-0.9
1995,-0.3,-2.1
1996,-0.2,-2.4
1997,0.1,-0.6
1998,0.5,2.6
1999,0,3.2
2000,-0.2,2
2001,0.4,2.4
2002,-0.2,3.5
2003,-0.3,3.4
2004,0.5,3.6
2005,0.1,0.6
2006,0,3.1
2007,0.5,3.2
2008,0.4,1.8
2009,0.5,3.2
2010,0,3.5
2011,-0.7,2.3
2012,-0.1,6.4
2013,0,4.5
2014,-0.1,5.9
2015,-0.2,6.3
2016,0.8,9.5
2017,0.1,5.1
2018,-0.2,4.6
2019,0.5,7.6
2020,0.4,9.1
2021,0.9,10
2022,0.2,9.6
2023,1,
