연도,해수면 평균높이1,해수면 평균온도,평균기온,해수면 평균높이2
1880,0,,,
1881,5.6,,,
1882,-11.2,,,
1883,-5.9,,,
1884,15,,,
1885,13.5,,,
1886,11.1,,,
1887,5.5,,,
1888,7.6,,,
1889,9.2,,,
1890,11.2,,,
1891,9.5,-0.5,-0.8,
1892,12.7,-0.6,-0.9,
1893,17.4,-0.6,-0.9,
1894,7.7,-0.6,-0.9,
1895,19.5,-0.5,-0.8,
1896,11.9,-0.4,-0.6,
1897,17.1,-0.4,-0.6,
1898,26.5,-0.6,-0.8,
1899,34,-0.5,-0.7,
1900,28.6,-0.4,-0.6,
1901,28.2,-0.5,-0.7,
1902,32.8,-0.6,-0.8,
1903,40.8,-0.7,-0.9,
1904,30.5,-0.7,-0.9,
1905,25,-0.6,-0.8,
1906,31.8,-0.6,-0.7,
1907,30.4,-0.6,-0.9,
1908,27.9,-0.7,-0.9,
1909,32.4,-0.8,-0.9,
1910,32.3,-0.8,-0.9,
1911,40.6,-0.8,-0.9,
1912,37.5,-0.6,-0.9,
1913,39.3,-0.7,-0.8,
1914,45.6,-0.6,-0.7,
1915,53.5,-0.5,-0.6,
1916,51.6,-0.6,-0.9,
1917,47.1,-0.6,-0.9,
1918,45.5,-0.5,-0.8,
1919,47.1,-0.5,-0.7,
1920,48.4,-0.5,-0.7,
1921,50.5,-0.5,-0.6,
1922,49.6,-0.6,-0.7,
1923,50.8,-0.6,-0.7,
1924,43.5,-0.6,-0.7,
1925,45.5,-0.5,-0.6,
1926,52,-0.4,-0.5,
1927,50.9,-0.5,-0.6,
1928,47,-0.5,-0.7,
1929,48.4,-0.6,-0.8,
1930,52.4,-0.4,-0.6,
1931,52,-0.4,-0.5,
1932,57.7,-0.4,-0.6,
1933,62,-0.5,-0.7,
1934,56.6,-0.5,-0.6,
1935,62.2,-0.5,-0.6,
1936,58.3,-0.5,-0.5,
1937,64,-0.4,-0.4,
1938,66.6,-0.5,-0.4,
1939,71.8,-0.4,-0.5,
1940,66.5,-0.3,-0.6,
1941,78.7,-0.3,-0.5,
1942,78.7,-0.3,-0.5,
1943,78.7,-0.3,-0.5,
1944,72.3,-0.2,-0.4,
1945,75.1,-0.3,-0.5,
1946,82.6,-0.5,-0.6,
1947,85.7,-0.5,-0.6,
1948,90.5,-0.5,-0.5,
1949,89.2,-0.5,-0.5,
1950,91.4,-0.5,-0.6,
1951,100.9,-0.4,-0.5,
1952,98.3,-0.3,-0.5,
1953,102.7,-0.3,-0.4,
1954,99.8,-0.5,-0.6,
1955,100.7,-0.5,-0.7,
1956,95.6,-0.5,-0.8,
1957,109,-0.3,-0.5,
1958,110.4,-0.3,-0.4,
1959,110.7,-0.3,-0.5,
1960,114.4,-0.3,-0.6,
1961,120.6,-0.3,-0.5,
1962,115.4,-0.3,-0.5,
1963,113.8,-0.3,-0.5,
1964,105.9,-0.5,-0.7,
1965,117.1,-0.4,-0.6,
1966,111.7,-0.4,-0.6,
1967,113.1,-0.4,-0.6,
1968,113.9,-0.4,-0.6,
1969,120.7,-0.2,-0.5,
1970,118.8,-0.3,-0.5,
1971,124,-0.4,-0.7,
1972,133.1,-0.2,-0.5,
1973,127.1,-0.3,-0.4,
1974,139,-0.4,-0.7,
1975,137.4,-0.4,-0.6,
1976,136.4,-0.4,-0.7,
1977,134.7,-0.3,-0.5,
1978,141.1,-0.3,-0.5,
1979,136.2,-0.2,-0.4,
1980,142.2,-0.2,-0.4,
1981,154.6,-0.2,-0.3,
1982,148.8,-0.2,-0.5,
1983,157.2,-0.2,-0.3,
1984,156.3,-0.2,-0.5,
1985,146,-0.3,-0.5,
1986,146.6,-0.2,-0.4,
1987,147.2,-0.1,-0.3,
1988,151.9,-0.2,-0.3,
1989,156.4,-0.2,-0.4,
1990,158.7,-0.1,-0.2,
1991,161.2,-0.1,-0.2,
1992,161.9,-0.2,-0.4,
1993,160.1,-0.2,-0.4,160.2
1994,165.3,-0.2,-0.3,163.5
1995,168.2,-0.1,-0.2,167
1996,172.3,-0.1,-0.3,170.8
1997,179.3,0,-0.1,172.2
1998,169.4,0,0.1,172
1999,177.9,-0.2,-0.2,173.7
2000,179.2,-0.1,-0.2,175.7
2001,184.7,0,-0.1,180.8
2002,187.1,0,0,184.4
2003,196.3,0,0,188.2
2004,195.9,0,-0.1,189.6
2005,196,0,0.1,192.2
2006,200.3,0,0,195
2007,202.2,-0.1,0,194.9
2008,210.9,-0.1,-0.1,198.8
2009,216.7,0,0,202.5
2010,224.4,0,0.1,204
2011,226,-0.1,-0.1,202.4
2012,234.8,0,0,212.4
2013,226.4,0,0.1,214.7
2014,,0.1,0.1,217.9
2015,,0.2,0.3,226.7
2016,,0.2,0.4,229.8
2017,,0.2,0.3,231.4
2018,,0.1,0.2,234.6
2019,,0.2,0.3,240.8
2020,,0.2,0.3,243.6
2021,,0.1,0.2,248.8
2022,,0.2,0.2,
2023,,0.4,,
